epoch,iter,total_loss
1,1195,1.1069
2,1195,1.0022
3,1195,0.9659
4,1195,0.9415
5,1195,0.8671
6,1195,0.8404
7,1195,0.8265
8,1195,0.8158
9,1195,0.8131
10,1195,0.8071
11,1195,0.7814
12,1195,0.7818
13,1195,0.7758
14,1195,0.7755
15,1195,0.7677
16,1195,0.7743
17,1195,0.7659
18,1195,0.7657
19,1195,0.769
20,1195,0.7614
