epoch,loss,val_mIoU,time_sec
1,0.1727,1.0,498.9
2,0.1301,0.738,534.7
3,0.1148,0.5739,535.7
4,0.0964,0.5524,533.9
5,0.0735,0.6596,534.4
6,0.0468,0.4625,537.4
7,0.0262,0.5982,533.6
8,0.0188,0.5182,539.1
9,0.0129,0.6998,535.4
10,0.0103,0.8199,535.1
