epoch,iter,total_loss
1,1195,1.4289
2,1195,1.1952
3,1195,1.1082
4,1195,1.0455
5,1195,1.0396
6,1195,0.9661
7,1195,0.9371
8,1195,0.9632
9,1195,0.9134
10,1195,0.9163
11,1195,0.8662
12,1195,0.8483
13,1195,0.834
14,1195,0.8312
15,1195,0.8271
16,1195,0.818
17,1195,0.8069
18,1195,0.8045
19,1195,0.8004
20,1195,0.7986
